state_abbr,role,role_rationale,commodity_rank,sctg2,commodity_label,touch_2031,share_of_state_touch
UT,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,5,4,Animal feed,8097.122716006715,0.044
SC,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,1,12,Gravel,41727.31826727118,0.1329
SC,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,2,25,Logs,25418.68171854678,0.081
SC,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,3,31,Nonmetal mineral products,24591.03007315964,0.0783
SC,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,4,41,Waste/scrap,19146.995634389048,0.061
SC,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,5,11,Natural sands,15405.265962554915,0.0491
ND,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",1,2,Cereal grains,57685.49349995804,0.3303
ND,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",2,3,Other ag products,18706.964774644493,0.1071
ND,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",3,12,Gravel,8862.675586651558,0.0508
ND,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",4,31,Nonmetal mineral products,8501.562902579062,0.0487
ND,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",5,4,Animal feed,6207.771592490731,0.0355
NM,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,1,12,Gravel,10371.356302527467,0.1084
NM,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,2,31,Nonmetal mineral products,7001.998856016624,0.0732
NM,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,3,4,Animal feed,5557.896664869146,0.0581
NM,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,4,3,Other ag products,4917.537244894525,0.0514
NM,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,5,7,Other foodstuffs,4501.267842503542,0.047
NJ,East Coast corridor reinforcement,High repeat survival plus eastern corridor and trade-linked distribution relevance,1,12,Gravel,42410.66685122981,0.1135
NJ,East Coast corridor reinforcement,High repeat survival plus eastern corridor and trade-linked distribution relevance,2,31,Nonmetal mineral products,34729.76148707003,0.0929
NJ,East Coast corridor reinforcement,High repeat survival plus eastern corridor and trade-linked distribution relevance,3,41,Waste/scrap,25519.113940650885,0.0683
NJ,East Coast corridor reinforcement,High repeat survival plus eastern corridor and trade-linked distribution relevance,4,17,Gasoline,25506.029908948898,0.0682
NJ,East Coast corridor reinforcement,High repeat survival plus eastern corridor and trade-linked distribution relevance,5,7,Other foodstuffs,24914.000333840915,0.0667
NC,East Coast corridor reinforcement,High repeat survival plus eastern corridor and trade-linked distribution relevance,1,12,Gravel,73482.95065553715,0.1719
NC,East Coast corridor reinforcement,High repeat survival plus eastern corridor and trade-linked distribution relevance,2,31,Nonmetal mineral products,33845.36924289327,0.0792
NC,East Coast corridor reinforcement,High repeat survival plus eastern corridor and trade-linked distribution relevance,3,25,Logs,23487.31392686228,0.0549
NC,East Coast corridor reinforcement,High repeat survival plus eastern corridor and trade-linked distribution relevance,4,7,Other foodstuffs,22329.25034098907,0.0522
NC,East Coast corridor reinforcement,High repeat survival plus eastern corridor and trade-linked distribution relevance,5,11,Natural sands,21613.327348908388,0.0505
VA,East Coast corridor reinforcement,High repeat survival plus eastern corridor and trade-linked distribution relevance,1,12,Gravel,74906.31049642355,0.1867
VA,East Coast corridor reinforcement,High repeat survival plus eastern corridor and trade-linked distribution relevance,2,31,Nonmetal mineral products,38066.06642198558,0.0949
VA,East Coast corridor reinforcement,High repeat survival plus eastern corridor and trade-linked distribution relevance,3,15,Coal,25141.84429622845,0.0627
VA,East Coast corridor reinforcement,High repeat survival plus eastern corridor and trade-linked distribution relevance,4,41,Waste/scrap,18924.33425776793,0.0472
VA,East Coast corridor reinforcement,High repeat survival plus eastern corridor and trade-linked distribution relevance,5,7,Other foodstuffs,15897.315265468442,0.0396
MN,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",1,2,Cereal grains,97702.7362288889,0.2114
MN,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",2,12,Gravel,68478.40877362006,0.1482
MN,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",3,3,Other ag products,42380.93187916409,0.0917
MN,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",4,31,Nonmetal mineral products,31740.240008018223,0.0687
MN,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",5,17,Gasoline,26562.651011290156,0.0575
WA,Gateway / trade redistribution support,Pacific or Gulf gateway support with repeated survival under trade and capacity stress,1,12,Gravel,55880.05494789051,0.1466
WA,Gateway / trade redistribution support,Pacific or Gulf gateway support with repeated survival under trade and capacity stress,2,25,Logs,51567.80277401148,0.1353
WA,Gateway / trade redistribution support,Pacific or Gulf gateway support with repeated survival under trade and capacity stress,3,31,Nonmetal mineral products,28423.53709682504,0.0746
WA,Gateway / trade redistribution support,Pacific or Gulf gateway support with repeated survival under trade and capacity stress,4,7,Other foodstuffs,22207.380000089215,0.0583
WA,Gateway / trade redistribution support,Pacific or Gulf gateway support with repeated survival under trade and capacity stress,5,2,Cereal grains,20307.47853898747,0.0533
NE,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",1,2,Cereal grains,128652.5025128973,0.3818
NE,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",2,3,Other ag products,20814.82516965248,0.0618
NE,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",3,31,Nonmetal mineral products,17215.294758973654,0.0511
NE,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",4,4,Animal feed,14735.244446327386,0.0437
NE,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",5,12,Gravel,12583.35017667493,0.0373
CO,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,1,12,Gravel,34297.62167150883,0.1581
CO,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,2,31,Nonmetal mineral products,22543.634660747124,0.1039
CO,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,3,2,Cereal grains,18558.690919411278,0.0856
CO,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,4,41,Waste/scrap,11838.018555437937,0.0546
CO,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,5,3,Other ag products,8921.25379320333,0.0411
KS,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",1,2,Cereal grains,73685.32069584221,0.2223
KS,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",2,12,Gravel,31910.786363937066,0.0963
KS,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",3,18,Fuel oils,22886.563513061385,0.069
KS,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",4,31,Nonmetal mineral products,21030.997737136557,0.0634
KS,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",5,17,Gasoline,16163.305032708273,0.0488
OR,Gateway / trade redistribution support,Pacific or Gulf gateway support with repeated survival under trade and capacity stress,1,12,Gravel,47286.86929481076,0.1829
OR,Gateway / trade redistribution support,Pacific or Gulf gateway support with repeated survival under trade and capacity stress,2,25,Logs,41106.45871469304,0.159
OR,Gateway / trade redistribution support,Pacific or Gulf gateway support with repeated survival under trade and capacity stress,3,31,Nonmetal mineral products,16248.007208193332,0.0629
OR,Gateway / trade redistribution support,Pacific or Gulf gateway support with repeated survival under trade and capacity stress,4,3,Other ag products,12088.519039736459,0.0468
OR,Gateway / trade redistribution support,Pacific or Gulf gateway support with repeated survival under trade and capacity stress,5,7,Other foodstuffs,10003.626376773751,0.0387
WI,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,1,12,Gravel,128507.7994677207,0.2796
WI,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,2,2,Cereal grains,30719.848522712407,0.0668
WI,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,3,31,Nonmetal mineral products,29818.101024938464,0.0649
WI,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,4,7,Other foodstuffs,29397.135194777897,0.064
WI,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,5,17,Gasoline,25821.867817195023,0.0562
AL,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,1,25,Logs,49160.02675831297,0.1369
AL,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,2,12,Gravel,32540.222660754363,0.0906
AL,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,3,31,Nonmetal mineral products,21109.179979029053,0.0588
AL,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,4,7,Other foodstuffs,13878.923256187692,0.0387
AL,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,5,41,Waste/scrap,12510.633911641367,0.0348
LA,Gateway / trade redistribution support,Pacific or Gulf gateway support with repeated survival under trade and capacity stress,1,3,Other ag products,33430.13901970719,0.0935
LA,Gateway / trade redistribution support,Pacific or Gulf gateway support with repeated survival under trade and capacity stress,2,18,Fuel oils,25648.771844932806,0.0717
LA,Gateway / trade redistribution support,Pacific or Gulf gateway support with repeated survival under trade and capacity stress,3,31,Nonmetal mineral products,25339.757352025794,0.0709
LA,Gateway / trade redistribution support,Pacific or Gulf gateway support with repeated survival under trade and capacity stress,4,25,Logs,25215.4985101259,0.0705
LA,Gateway / trade redistribution support,Pacific or Gulf gateway support with repeated survival under trade and capacity stress,5,2,Cereal grains,19229.513607816043,0.0538
