state_abbr,year,total_export_value_usd,vessel_export_value_usd,container_export_value_usd,china_export_value_usd,canada_export_value_usd,mexico_export_value_usd,total_import_value_usd,vessel_import_value_usd,container_import_value_usd,china_import_value_usd,canada_import_value_usd,mexico_import_value_usd,china_trade_value_usd,canada_trade_value_usd,mexico_trade_value_usd,total_trade_value_usd,total_vessel_trade_value_usd,total_container_trade_value_usd,import_intensity,export_intensity,maritime_share,container_share,china_trade_share,canada_trade_share,mexico_trade_share,trade_war_partner_exposure,state_fips,orig_interstate_touch,dest_interstate_touch,total_interstate_touch_2031,inbound_interstate_touch_2031,outbound_interstate_touch_2031,trade_dependency,import_dependency,export_dependency,trade_dependency_winsor,import_dependency_winsor,export_dependency_winsor,trade_external_enhanced_score,rank_within_scenario,severity
AL,2024,26943288985,16651115895,3243057475,4192283862,4586495518,4203875150,38749217148,26548072514,22557877055,3988537781,3806569711,6894587334,8180821643,8393065229,11098462484,65692506133,43199188409,25800934530,0.5898574956106706,0.41014250438932937,0.6575969003456743,0.39275308629212347,0.12453203758792881,0.1277629020882159,0.16894563988060116,0.302557162769219,01,60677.49911333203,58612.83842993898,119290.33754327102,58612.83842993898,60677.49911333203,550694.2765517023,661104.6007321017,444040.86158323614,550694.2765517023,661104.6007321017,444040.86158323614,2.4669636452956856,11,
NC,2024,43048456425,14975448332,12878957965,5920189113,8911447534,5025529114,87550385831,39154290965,31649803485,7066188174,4719209729,11575515784,12986377287,13630657263,16601044898,130598842256,54129739297,44528761450,0.6703764315106533,0.3296235684893467,0.41447334725138546,0.3409583169406255,0.09943715474555348,0.10437042953475169,0.12711479375489879,0.23832828871934375,37,76609.2161822831,94696.61582082947,171305.83200311256,94696.61582082947,76609.2161822831,762372.4232204019,924535.5293018024,561922.6846358927,762372.4232204019,924535.5293018024,561922.6846358927,2.2714415494366698,12,
PA,2024,53474303795,17251588852,10299612082,3449823142,14835658933,5140101985,127257337696,55312808911,41481868342,16550309372,14237768915,6679862115,20000132514,29073427848,11819964100,180731641491,72564397763,51781480424,0.704123177580596,0.29587682241940405,0.4015035616583692,0.28651031992413234,0.11066204206968351,0.16086517893684812,0.06540063489983078,0.24642153037169084,42,149117.17557746838,133803.07707339374,282920.2526508621,133803.07707339374,149117.17557746838,638807.719834861,951079.3060924655,358605.9324683184,638807.719834861,951079.3060924655,358605.9324683184,2.2427592185115333,13,
OH,2024,57364668019,11883457271,9299842923,2989754210,20772265945,9551621270,86820742345,36746344385,32600449010,10231330001,18985401189,11508973739,13221084211,39757667134,21060595009,144185410364,48629801656,41900291933,0.6021465148645668,0.3978534851354331,0.3372726930778415,0.29060008101528145,0.09169502085975975,0.2757398757171803,0.14606606144014123,0.34477858315415266,39,121053.94209182785,136252.5850779251,257306.52716975292,136252.5850779251,121053.94209182785,560364.3714365494,637204.3678682925,473876.90997691674,560364.3714365494,637204.3678682925,473876.90997691674,1.809157934461759,14,
VA,2024,21755741278,12124227543,6528369563,1375785094,3465264667,1308597695,40746363201,25729354258,22822675682,5719198041,3244169497,3784579383,7094983135,6709434164,5093177078,62502104479,37853581801,29351045245,0.6519198599895195,0.3480801400104805,0.605636916013258,0.46960091167588797,0.11351590789049086,0.10734733206070356,0.08148808940843344,0.22681716077197306,51,70374.21935138252,76820.75977484045,147194.97912622296,76820.75977484045,70374.21935138252,424621.17152381304,530408.2297601127,309143.6250166035,424621.17152381304,530408.2297601127,309143.6250166035,1.8008729426004173,15,
NY,2024,94036485726,10775434192,9228068805,2957760291,20334407387,3745839288,159811883916,52795033133,48593587387,18609883899,20532927101,3526570925,21567644190,40867334488,7272410213,253848369642,63570467325,57821656192,0.6295564716109118,0.3704435283890883,0.25042692775475706,0.22778029369873576,0.08496270517875158,0.16099112452695608,0.028648638646985258,0.19874656308311636,36,104854.5230556658,125340.65260793052,230195.1756635963,125340.65260793052,104854.5230556658,1102752.7788548016,1275020.359243673,896828.1289694803,1102752.7788548016,1275020.359243673,896828.1289694803,1.4908560422889197,16,
MD,2024,17948351628,8104850018,3856721547,1169346897,2284937360,554390419,42670580780,34343402237,15029972218,2629249942,2863263515,4795617655,3798596839,5148200875,5350008074,60618932408,42448252255,18886693765,0.7039150820539473,0.2960849179460528,0.7002474403425492,0.31156427562732014,0.0626635390645496,0.08492727718049653,0.08825638891149375,0.16657373871974376,24,53431.55132004341,59652.884482119516,113084.43580216292,59652.884482119516,53431.55132004341,536050.1821316119,715314.6264501287,335912.97996371594,536050.1821316119,715314.6264501287,335912.97996371594,1.2239932917432972,17,
AZ,2024,32397970318,3225175329,2931310432,1717456144,2997271014,8898926562,42206430337,11364412769,10920152057,5366340001,2697019963,11592928113,7083796145,5694290977,20491854675,74604400655,14589588098,13851462489,0.565736470857518,0.43426352914248206,0.1955593499834946,0.1856654884616605,0.09495145169462926,0.07632647574414053,0.27467353795605665,0.3055514599147476,04,27125.05329682885,29043.50927326716,56168.56257009601,29043.50927326716,27125.05329682885,1328223.4267949592,1453213.864064579,1194392.8722819358,1328223.4267949592,1453213.864064579,1194392.8722819358,0.9152868928235576,18,
KY,2024,47922178331,8215451757,6350970866,4315422008,9537561282,4151502784,94467451848,19969942172,19165979511,6734764104,5838813664,9903744837,11050186112,15376374946,14055247621,142389630179,28185393929,25516950377,0.6634433401452314,0.3365566598547686,0.19794555188862945,0.1792051172892456,0.0776052729268884,0.10798802501748297,0.09870976982896122,0.2016239498347549,21,65970.03162720098,60978.85182920742,126948.8834564084,60978.85182920742,65970.03162720098,1121629.6378683285,1549183.8402039628,726423.4554533785,1121629.6378683285,1549183.8402039628,726423.4554533785,0.7830512855819179,19,
NV,2024,10383374914,1888602044,1307030127,888973105,1810016908,897175996,18812564361,8270511269,8060385493,4924886390,1471129250,1570579191,5813859495,3281146158,2467755187,29195939275,10159113313,9367415620,0.644355510668872,0.3556444893311281,0.34796322931453283,0.3208465236129999,0.1991324697670649,0.11238364784549307,0.08452391833521512,0.3172770094754898,32,20998.586734058397,24402.816217260948,45401.402951319345,24402.816217260948,20998.586734058397,643062.4909610107,770917.7577501578,494479.7021581845,643062.4909610107,770917.7577501578,494479.7021581845,0.7827574080441209,20,
MN,2024,26886935135,4564883179,2859257336,2006222073,7893846625,4204359042,40590819606,13012693741,12310523349,6713874613,14694470225,3067824877,8720096686,22588316850,7272183919,67477754741,17577576920,15169780685,0.6015437200274346,0.39845627997256544,0.2604943953376642,0.22481158039751323,0.12922920626909365,0.33475205179396944,0.10777157519411898,0.39474338246194673,27,70472.83680109371,84345.00963549931,154817.84643659304,84345.00963549931,70472.83680109371,435852.56024495914,481247.4357571956,381521.96442562854,435852.56024495914,481247.4357571956,381521.96442562854,0.34769404195772946,21,
WI,2024,27811260717,6350671764,4723014808,1553542672,8226195989,4349625143,38783831384,13871320961,13017783074,6388748465,6226861331,5926395467,7942291137,14453057320,10276020610,66595092101,20221992725,17740797882,0.5823827276217194,0.4176172723782806,0.303655901463891,0.26639797802357273,0.11926240938227844,0.2170288660023187,0.15430597489699535,0.34206331392186684,55,70984.744939979,66972.14898532264,137956.89392530164,66972.14898532264,70984.744939979,482723.9161897823,579103.880816184,391792.0778685019,482723.9161897823,579103.880816184,391792.0778685019,0.3378655307354054,22,
MS,2024,13856719413,7962431990,3006385499,591465915,2123919435,1643332775,21379326251,12831667939,8821851857,2946665587,1629070223,2763269999,3538131502,3752989658,4406602774,35236045664,20794099929,11828237356,0.6067459003449656,0.39325409965503444,0.590137160318331,0.3356857199241482,0.10041227485452041,0.10650995556616498,0.12505951479402647,0.23935395707063528,28,36775.47305289973,44210.507363042096,80985.98041594183,44210.507363042096,36775.47305289973,435088.2150593055,483580.2058420192,376792.41795388417,435088.2150593055,483580.2058420192,376792.41795388417,0.08445702960840709,23,
IN,2024,60181842573,9323149208,7241367183,5058251308,14253663367,7481175118,106736478796,23422643487,22776070120,9290129684,10670535960,6123858121,14348380992,24924199327,13605033239,166918321369,32745792695,30017437303,0.6394533441301612,0.3605466558698388,0.19617854065648144,0.17983308876346527,0.0859604917801718,0.14931973388290323,0.08150712951949636,0.22445660982161153,18,115835.03630633354,123526.41695494494,239361.45326127848,123526.41695494494,115835.03630633354,697348.3787583704,864078.1577509133,519547.8370969304,697348.3787583704,864078.1577509133,519547.8370969304,0.016411578434197827,24,
MO,2024,19344487676,5107887954,3505855217,671427698,6495552682,4257711005,24265925811,10802142397,10381382383,4233649863,4025458872,5020612138,4905077561,10521011554,9278323143,43610413487,15910030351,13887237600,0.5564250340858045,0.4435749659141956,0.3648218184343215,0.31843856752561406,0.11247491525073877,0.24124998395477837,0.2127547620195303,0.38487776283532393,29,69018.04768905917,72865.11839336202,141883.1660824212,72865.11839336202,69018.04768905917,307368.4827533826,333025.2711592467,280281.5832048885,307368.4827533826,333025.2711592467,280281.5832048885,-0.12776314411569528,25,
LA,2024,86619326947,81351792811,6324234304,10033563760,4269001198,7204649366,31440210643,27108875971,6327996791,1183852429,3145399570,4586445135,11217416189,7414400768,11791094501,118059537590,108460668782,12652231095,0.26630809576932546,0.7336919042306745,0.9186946772455167,0.10716822506063824,0.09501490873152589,0.06280221758744227,0.09987413758936102,0.19262072183760787,22,49568.87693770437,48207.9834287419,97776.86036644627,48207.9834287419,49568.87693770437,1207438.417919523,652178.5066880676,1747453.8924062923,1207438.417919523,652178.5066880676,1686843.1300412694,-0.14085702432711752,26,
RI,2024,3096093982,968770171,519546218,124577467,525881228,187710600,11144139127,9328316323,3152522737,552625569,1655890158,1657581708,677203036,2181771386,1845292308,14240233109,10297086494,3672068955,0.7825812289517065,0.21741877104829352,0.7230981694739335,0.2578657896182337,0.047555614491450945,0.1532117746458163,0.12958301271302594,0.21723248690675628,44,23536.927064140484,18875.205365764996,42412.13242990548,18875.205365764996,23536.927064140484,335758.47978252044,590411.5431354586,131541.9796969602,335758.47978252044,590411.5431354586,132834.02189364357,-0.1524434308515179,27,
CO,2024,10577393479,2521167323,1867493759,759078738,1699367629,1737286933,16752837890,5214367277,4921130212,1804615635,5345569444,1090416224,2563694373,7044937073,2827703157,27330231369,7735534600,6788623971,0.6129782680509,0.3870217319490999,0.28303948457510036,0.24839248081522525,0.09380434209964042,0.2577708537437007,0.10346429632525515,0.31054543214101393,08,22681.04360344059,25324.106864003094,48005.15046744369,25324.106864003094,22681.04360344059,569318.7314876749,661537.1661463525,466353.91492283304,569318.7314876749,661537.1661463525,466353.91492283304,-0.5779393430121093,28,
MA,2024,35008757045,3762165141,3244835229,3890409050,3119909267,3540635659,43272362513,16217149343,10119337999,3415566036,10656695369,5270830314,7305975086,13776604636,8811465973,78281119558,19979314484,13364173228,0.5527815999225544,0.4472184000774457,0.2552252011316335,0.17072026183910444,0.09332997697595345,0.17598885547098808,0.11256182873663954,0.26646038750053,25,61216.009187792755,49346.30511628101,110562.31430407376,49346.30511628101,61216.009187792755,708027.143342057,876911.9067989346,571888.9145093305,708027.143342057,876911.9067989346,571888.9145093305,-0.6049441251226224,29,
UT,2024,18237862823,2868144703,2394716968,1143443843,1486002234,1093217036,21899600126,5769573392,5574609449,2661238364,4740218087,4782541814,3804682207,6226220321,5875758850,40137462949,8637718095,7969326417,0.5456149571243794,0.45438504287562065,0.21520339005919165,0.1985508258737253,0.09479129789130808,0.15512241839777574,0.1463908881701351,0.27569928183205455,49,21716.194870501997,25002.308853054248,46718.50372355625,25002.308853054248,21716.194870501997,859134.1706168989,875903.111777006,839827.738319536,859134.1706168989,875903.111777006,839827.738319536,-0.8983550229316991,30,
OK,2024,7796689319,1451660226,1207832050,214529718,1909418161,606542880,17922018963,4593623653,4098382588,2621817061,8957353256,1099610907,2836346779,10866771417,1706153787,25718708282,6045283879,5306214638,0.696847554180754,0.30315244581924605,0.23505394643909744,0.2063173072231513,0.11028340723414563,0.4225239968449517,0.06633901548601888,0.40360121463272797,40,49839.77701425623,48338.13647913624,98177.91349339247,48338.13647913624,49839.77701425623,261960.22472743742,370763.5475508147,156435.07627993252,261960.22472743742,370763.5475508147,156435.07627993252,-0.967293710634521,31,
OR,2024,33860466050,4741167579,2071326198,5829007399,3342925679,6257444531,28208486894,10223943385,6044873723,2679513554,3824701184,827753168,8508520953,7167626863,7085197699,62068952944,14965110964,8116199921,0.45447015868707064,0.5455298413129294,0.24110461437140496,0.1307610252153378,0.13708175423349864,0.11547845618512034,0.11415043049610366,0.27485908624223304,41,32810.3604270219,29177.19983039984,61987.56025742174,29177.19983039984,32810.3604270219,1001313.0487188115,966798.975157632,1032005.3059250533,1001313.0487188115,966798.975157632,1032005.3059250533,-1.1630958959712754,32,
DE,2024,4750076142,1485417685,1123758026,532449256,835583271,398988998,10621281779,7859814334,4415450758,695053823,1379260524,841288868,1227503079,2214843795,1240277866,15371357921,9345232019,5539208784,0.6909787563068482,0.30902124369315176,0.6079639851618286,0.3603591050620491,0.07985651529999267,0.14408901324027662,0.08068759262352225,0.214722478818272,10,30756.532042170795,30952.035849100917,61708.56789127171,30952.035849100917,30756.532042170795,249096.0079981727,343152.92960958893,154441.213836693,249096.0079981727,343152.92960958893,154441.213836693,-1.1941279722248312,33,
ME,2024,3112067869,547662432,404758010,139484778,1338742634,82012635,6752137043,3878140324,1123534577,177611308,4748346307,83048544,317096086,6087088941,165061179,9864204912,4425802756,1528292587,0.6845090002931602,0.3154909997068398,0.44867303502747835,0.15493317511488452,0.03214613735509959,0.6170886549198644,0.016733348553941717,0.41243933943938327,23,21218.46271616284,15626.027832835754,36844.4905489986,15626.027832835754,21218.46271616284,267725.371283987,432108.3461026094,146667.92362056606,267725.371283987,432108.3461026094,146667.92362056606,-1.2608152397061798,34,
CT,2024,17418897102,2092088306,1676014287,1455639115,2385769471,1669260252,22843663659,8098064087,4600857092,1340628648,5741225316,3643128840,2796267763,8126994787,5312389092,40262560761,10190152393,6276871379,0.5673673811906998,0.4326326188093002,0.25309250580183185,0.15589846399139223,0.06945081758705675,0.20184992294062296,0.13194364669288006,0.2697269593671585,09,38867.068146275014,39529.801489725694,78396.86963600072,39529.801489725694,38867.068146275014,513573.5769545444,577884.6034665103,448165.9649872359,513573.5769545444,577884.6034665103,448165.9649872359,-1.9336260813327222,35,
MT,2024,2420310498,385365628,359259366,95720628,921038164,73643007,7372221975,225619984,200538063,92511813,6767117092,114699777,188232441,7688155256,188342784,9792532473,610985612,559797429,0.7528412078618797,0.24715879213812028,0.062393013623861994,0.057165746505663896,0.01922203898930078,0.785103881676962,0.019233307065286667,0.5018243522346499,30,17095.44946971334,17263.57077944553,34359.02024915887,17263.57077944553,17095.44946971334,285006.16146759095,427039.2301329436,141576.30089152514,285006.16146759095,427039.2301329436,141576.30089152514,-1.955083003327502,36,
KS,2024,14459566815,4190451714,3450133694,814957482,2675817247,3103040742,14468628205,7513776375,6353034764,1501455523,2085383248,1384212702,2316413005,4761200495,4487253444,28928195020,11704228089,9803168458,0.5001566186551517,0.49984338134484824,0.4045958650689434,0.33887936842317373,0.08007457787803589,0.164586850016334,0.15511695219482796,0.27189685920473305,20,51811.59820451834,48699.28947840004,100510.88768291837,48699.28947840004,51811.59820451834,287811.55640829436,297101.42303857184,279079.72956022463,287811.55640829436,297101.42303857184,279079.72956022463,-2.012953595814676,37,
NM,2024,11998058852,357186887,277404650,1968657033,184317709,6943405846,9126980513,1354995150,1269826210,1915888314,850794647,2266853158,3884545347,1035112356,9210259004,21125039365,1712182037,1547230860,0.4320456097289739,0.5679543902710261,0.08104988622349012,0.07324156103412781,0.1838834607539677,0.04899931016057541,0.4359877794717662,0.47487571453337263,35,14269.79614397889,16702.983936458684,30972.780080437573,16702.983936458684,14269.79614397889,682051.7664264367,546428.1440801694,840800.998903026,682051.7664264367,546428.1440801694,840800.998903026,-2.034918661915797,38,
IA,2024,17052869383,6689357982,4190838826,927363208,5254342127,3125516778,12454913314,4443368285,3884495399,1281923037,3604387781,2405545623,2209286245,8858729908,5531062401,29507782697,11132726267,8075334225,0.42208909567665576,0.5779109043233442,0.3772810170562847,0.27366794407839407,0.0748713065866726,0.3002167258368976,0.18744418914140684,0.3674678555736553,19,83740.61824698468,60924.499957731656,144665.11820471633,60924.499957731656,83740.61824698468,203973.0313927051,204431.93333783618,203639.16269049083,203973.0313927051,204431.93333783618,203639.16269049083,-2.692787940255255,39,
WV,2024,4872426608,2016716511,1457499101,442901851,1990921476,253184875,4838413935,2153953340,2011880294,206208633,2050391021,114563392,649110484,4041312497,367748267,9710840543,4170669851,3469379395,0.4982487266241583,0.5017512733758417,0.4294859783282511,0.35726870188398685,0.06684390307159428,0.41616505585741037,0.03786986979876722,0.3392648584653008,54,36029.72317695531,31455.74448286207,67485.46765981738,31455.74448286207,36029.72317695531,143895.28412177085,153816.5449441547,135233.52883034124,145848.75497374116,153816.5449441547,135233.52883034124,-3.452920594298575,40,
AR,2024,6930936398,2027271752,1581718556,226005685,1520361340,1597005794,7178890039,3001736951,2647202674,1037209388,1278358333,964289117,1263215073,2798719673,2561294911,14109826437,5029008703,4228921230,0.5087865588604901,0.4912134411395099,0.35641889185911607,0.2997146172479173,0.08952732896043915,0.19835252300913897,0.18152561425444272,0.31745421131858814,05,38910.52345689993,37651.85537424808,76562.378831148,37651.85537424808,38910.52345689993,184291.90226858098,190664.9743457261,178124.98476606718,184291.90226858098,190664.9743457261,178124.98476606718,-3.496486666794497,41,
NE,2024,8185511860,3713988927,3152787166,652684141,1657164623,1733030969,6014208134,2516011625,2013499364,753121045,1441425948,847449500,1405805186,3098590571,2580480469,14199719994,6230000552,5166286530,0.42354413583797884,0.5764558641620212,0.4387410846574754,0.36383016934016876,0.09900231741147106,0.2182149065128953,0.18172756012726768,0.3389677973955688,31,41683.46418562422,53312.79074567785,94996.25493130207,53312.79074567785,41683.46418562422,149476.6294131146,112809.8538808453,196373.11869158456,149476.6294131146,123462.01734758531,196373.11869158456,-3.590483269171088,42,
NH,2024,7136784293,532691122,480349626,368927876,1173082333,614960575,10203224470,2403799934,1850569425,533501028,1948290945,593947568,902428904,3121373278,1208908143,17340008763,2936491056,2330919051,0.5884209523452822,0.4115790476547177,0.16934772618257643,0.13442432947171862,0.05204316308799088,0.18000990199384248,0.06971785075331452,0.20187981473628508,33,20886.989548909845,26892.541129480844,47779.530678390685,26892.541129480844,20886.989548909845,362917.1010430705,379407.2274863886,341685.63527492597,362917.1010430705,379407.2274863886,341685.63527492597,-4.594115132571982,43,
ID,2024,4286508061,862484455,724835207,178896963,1657143990,305658576,8932135416,861851173,671703422,303865368,1579938165,199632372,482762331,3237082155,505290948,13218643477,1724335628,1396538629,0.6757225453233244,0.3242774546766755,0.13044724528657473,0.10564916373075126,0.03652132171050611,0.24488762108096912,0.038225627983627025,0.2063892711492638,16,21427.287398529763,22299.15435340089,43726.44175193065,22299.15435340089,21427.287398529763,302303.204820373,400559.37881957134,200049.0300650058,302303.204820373,400559.37881957134,200049.0300650058,-4.814812144500148,44,
SD,2024,2134374657,500946577,359385754,153489194,976076964,418590482,1675390056,660723063,621375048,243613745,639003551,101856316,397102939,1615080515,520446798,3809764713,1161669640,980760802,0.4397620803938608,0.5602379196061392,0.3049189982877559,0.25743343116528045,0.10423293009276187,0.42393182694167075,0.13660864573187095,0.4405572136968869,46,33285.656406952854,24634.383660298863,57920.04006725171,24634.383660298863,33285.656406952854,65776.27896279824,68010.2282688762,64122.955272534826,145848.75497374116,123462.01734758531,132834.02189364357,-4.925474310588426,45,
VT,2024,1890617572,206822323,189868379,138847644,668304810,68631545,3502469245,350183865,341923864,186165963,2345205702,117348525,325013607,3013510512,185980070,5393086817,557006188,531792243,0.6494368371670883,0.3505631628329116,0.1032815170421908,0.09860628264386422,0.06026485721970902,0.5587728538878443,0.03448490193292581,0.41621951071217106,50,16574.2381146239,17472.943942260437,34047.18205688434,17472.943942260437,16574.2381146239,158400.38708605894,200451.00909005108,114069.65188534712,158400.38708605894,200451.00909005108,132834.02189364357,-4.9879462342411145,46,
ND,2024,6846334536,656023093,262273432,35602379,5173327468,693150484,4271811101,620599365,577081347,153118955,2794405416,234072644,188721334,7967732884,927223128,11118145637,1276622458,839354779,0.38421974675200055,0.6157802532479995,0.11482332573082484,0.07549413422025315,0.016974173586281834,0.7166422480997404,0.08339728208940712,0.4969978916997704,38,27885.069845356575,29821.793651523545,57706.86349688012,29821.793651523545,27885.069845356575,192665.91464637642,143244.6066429596,245519.71983459286,192665.91464637642,143244.6066429596,245519.71983459286,-5.1444897542449475,47,
WY,2024,2077615509,1407705990,126184136,127530043,409178269,67774238,1317281768,419884884,361741414,124960506,718935053,37552703,252490549,1128113322,105326941,3394897277,1827590874,487925550,0.38801815210269175,0.6119818478973083,0.53833466078096,0.1437232146332185,0.07437354606002118,0.33229674713365415,0.031025074518035264,0.2923666390510348,56,14087.799185729335,16494.198246142383,30581.997431871718,16494.198246142383,14087.799185729335,111009.66457677912,79863.34032986916,147476.22972256618,145848.75497374116,123462.01734758531,147476.22972256618,-6.8858470415030135,48,
